Underlying Name,Expiration Date,Strike Price,Call-Price,Call-Change in Price (%),Call-Open Interest,Call-Volume,Call-Implied Volatility,Greeks: Call Delta,Greeks: Call Theta,Greeks: Call Vega,Greeks: Call Gamma,Greeks: Call Rho,Put-Price,Put-Change in Price (%),Put-Open Interest,Put-Volume,Put-Implied Volatility,Put-Call Ratio,Greeks: Put Delta,Greeks: Put Theta,Greeks: Put Vega,Greeks: Put Gamma,Greeks: Put Rho
GAIL,29-08-2024,180.0,42.85,0.0,4575.0,0,0.0,1.0,0.0,0.0,0.0,,0.25,-50.0,73200.0,82350,42.97,16.0,-0.0227,-0.0241,0.0382,0.0018,
GAIL,29-08-2024,190.0,39.5,0.0,22875.0,0,0.0,1.0,0.0,0.0,0.0,,0.45,-35.71,1065975.0,960750,39.06,46.6,-0.0414,-0.036,0.0627,0.0032,
GAIL,29-08-2024,195.0,38.25,102.92,13725.0,18300,42.97,0.9178,-0.0679,0.1075,0.005,,0.55,-35.29,54900.0,215025,35.16,4.0,-0.0472,-0.036,0.0697,0.004,
GAIL,29-08-2024,200.0,33.25,6.4,224175.0,54900,38.57,0.9065,-0.0671,0.1183,0.0061,,0.85,-22.73,2987475.0,2223450,35.16,13.3265,-0.0754,-0.052,0.1006,0.0057,
GAIL,29-08-2024,205.0,27.9,3.53,50325.0,68625,30.76,0.9138,-0.0504,0.1113,0.0072,,1.15,-30.3,745725.0,924150,33.2,14.8182,-0.1018,-0.0615,0.1259,0.0076,
GAIL,29-08-2024,210.0,23.75,4.63,333975.0,457500,32.23,0.8559,-0.0762,0.1607,0.0099,,1.9,-24.0,2831925.0,2644350,33.2,8.4795,-0.1506,-0.0808,0.1655,0.0099,
GAIL,29-08-2024,215.0,19.45,1.3,388875.0,292800,30.76,0.8044,-0.0885,0.1956,0.0127,,2.7,-20.59,1281000.0,1948950,31.74,3.2941,-0.2021,-0.0931,0.1995,0.0125,
GAIL,29-08-2024,220.0,15.85,4.28,1235250.0,1345050,31.25,0.7273,-0.1081,0.2353,0.015,,3.85,-19.79,3010350.0,3486150,31.25,2.437,-0.2727,-0.1081,0.2353,0.015,
GAIL,29-08-2024,225.0,12.6,4.56,1281000.0,1830000,31.25,0.6439,-0.1213,0.2639,0.0168,,5.65,-15.67,1262700.0,2804475,31.25,0.9857,-0.3561,-0.1213,0.2639,0.0168,
GAIL,29-08-2024,230.0,9.7,2.11,6793875.0,11876700,30.76,0.5553,-0.1266,0.2798,0.0181,,7.75,-14.36,2928000.0,8106900,31.01,0.431,-0.4448,-0.1276,0.2798,0.018,
GAIL,29-08-2024,235.0,7.55,1.34,2607750.0,9136275,31.25,0.4653,-0.1293,0.2814,0.018,,10.4,-12.61,796050.0,1770525,31.01,0.3053,-0.5352,-0.1283,0.2814,0.0181,
GAIL,29-08-2024,240.0,5.75,-1.71,5613525.0,10568250,32.23,0.3838,-0.1282,0.2704,0.0167,,13.65,-9.6,1175775.0,1857450,31.74,0.2095,-0.6185,-0.126,0.2699,0.017,
GAIL,29-08-2024,245.0,4.35,-1.14,1711050.0,3477000,32.71,0.3099,-0.1202,0.2498,0.0152,,17.35,-8.44,251625.0,503250,32.71,0.1471,-0.6901,-0.1202,0.2498,0.0152,
GAIL,29-08-2024,250.0,3.25,-4.41,5329875.0,8262450,33.2,0.2461,-0.109,0.2231,0.0134,,20.95,-8.52,315675.0,384300,31.74,0.0592,-0.7652,-0.1015,0.2175,0.0137,
GAIL,29-08-2024,255.0,2.35,-6.0,786900.0,1473150,33.2,0.1889,-0.0935,0.1914,0.0115,,23.45,-12.01,96075.0,18300,20.51,0.1221,-0.9304,-0.0285,0.0946,0.0092,
GAIL,29-08-2024,260.0,1.7,-10.53,3504450.0,3897900,33.69,0.1453,-0.0801,0.1616,0.0096,,29.6,-4.52,155550.0,219600,33.2,0.0444,-0.8585,-0.0775,0.1587,0.0095,
